label,mf_thresh,ef_thresh,mf_extra_pct,ef_extra_pct,cfd_entry_thresh,total_injected_usd,total_gold_deployed,final_oz,avg_cost_usd,last_price,gold_value_usd,dca_cash_usd,cfd_capital_usd,total_assets_usd,total_return_usd,return_pct,n_buys,n_weekly_buys,n_mod_fear_buys,n_ext_fear_buys,n_sells,total_sell_proceeds,cfd_n_trades,cfd_n_tp,cfd_n_sl,cfd_win_rate_pct,cfd_pnl_usd
mf40_ef25_mp0.75_ep10.0_cfd40,40,25,0.75,10.0,40,13000.0,14333.9,3.7952,2368.75,4319.19,16392.16,2955.97,2081.98,21430.12,8430.12,64.85,314,212,48,54,41,5289.88,5,5,0,100.0,1081.98
mf45_ef20_mp2.00_ep20.0_cfd25,45,20,2.0,20.0,25,13000.0,15458.12,4.1357,2405.71,4319.19,17862.76,1878.25,1680.83,21421.84,8421.84,64.78,314,198,91,25,41,5336.37,16,7,8,43.8,680.83
mf35_ef25_mp1.00_ep10.0_cfd40,35,25,1.0,10.0,40,13000.0,14273.03,3.7933,2371.83,4319.19,16383.88,2954.55,2081.98,21420.41,8420.41,64.77,314,226,34,54,41,5227.58,5,5,0,100.0,1081.98
mf40_ef20_mp2.00_ep20.0_cfd35,40,20,2.0,20.0,35,13000.0,15135.24,4.0447,2414.46,4319.19,17469.66,2078.18,1835.91,21383.74,8383.74,64.49,314,212,77,25,41,5213.41,4,4,0,100.0,835.91
mf35_ef25_mp0.75_ep10.0_cfd40,35,25,0.75,10.0,40,13000.0,14189.51,3.7668,2372.57,4319.19,16269.5,3011.63,2081.98,21363.1,8363.1,64.33,314,226,34,54,41,5201.14,5,5,0,100.0,1081.98
mf45_ef20_mp2.00_ep15.0_cfd35,45,20,2.0,15.0,35,13000.0,14711.29,3.9293,2379.35,4319.19,16971.39,2552.8,1835.91,21360.1,8360.1,64.31,314,198,91,25,41,5264.1,4,4,0,100.0,835.91
mf45_ef20_mp2.00_ep17.5_cfd30,45,20,2.0,17.5,30,13000.0,15111.17,4.0386,2393.8,4319.19,17443.51,2194.18,1721.79,21359.48,8359.48,64.3,314,198,91,25,41,5305.35,6,4,2,66.7,721.79
mf45_ef20_mp1.50_ep20.0_cfd35,45,20,1.5,20.0,35,13000.0,15094.55,4.0372,2415.06,4319.19,17437.59,2073.54,1835.91,21347.04,8347.04,64.21,314,198,91,25,41,5168.09,4,4,0,100.0,835.91
mf45_ef20_mp2.00_ep17.5_cfd25,45,20,2.0,17.5,25,13000.0,15111.17,4.0386,2393.8,4319.19,17443.51,2194.18,1680.83,21318.52,8318.52,63.99,314,198,91,25,41,5305.35,16,7,8,43.8,680.83
mf40_ef20_mp2.00_ep17.5_cfd35,40,20,2.0,17.5,35,13000.0,14753.23,3.9378,2400.75,4319.19,17008.3,2427.84,1835.91,21272.05,8272.05,63.63,314,212,77,25,41,5181.07,4,4,0,100.0,835.91
mf40_ef20_mp2.00_ep20.0_cfd30,40,20,2.0,20.0,30,13000.0,15135.24,4.0447,2414.46,4319.19,17469.66,2078.18,1721.79,21269.63,8269.63,63.61,314,212,77,25,41,5213.41,6,4,2,66.7,721.79
mf45_ef20_mp2.00_ep15.0_cfd30,45,20,2.0,15.0,30,13000.0,14711.29,3.9293,2379.35,4319.19,16971.39,2552.8,1721.79,21245.98,8245.98,63.43,314,198,91,25,41,5264.1,6,4,2,66.7,721.79
mf45_ef20_mp1.50_ep20.0_cfd30,45,20,1.5,20.0,30,13000.0,15094.55,4.0372,2415.06,4319.19,17437.59,2073.54,1721.79,21232.92,8232.92,63.33,314,198,91,25,41,5168.09,6,4,2,66.7,721.79
mf45_ef20_mp1.50_ep17.5_cfd35,45,20,1.5,17.5,35,13000.0,14708.86,3.93,2401.6,4319.19,16974.21,2422.88,1835.91,21233.0,8233.0,63.33,314,198,91,25,41,5131.74,4,4,0,100.0,835.91
mf45_ef20_mp2.00_ep12.5_cfd35,45,20,2.0,12.5,35,13000.0,14247.94,3.8051,2362.22,4319.19,16434.88,2959.54,1835.91,21230.33,8230.33,63.31,314,198,91,25,41,5207.49,4,4,0,100.0,835.91
mf40_ef20_mp2.00_ep20.0_cfd25,40,20,2.0,20.0,25,13000.0,15135.24,4.0447,2414.46,4319.19,17469.66,2078.18,1680.83,21228.67,8228.67,63.3,314,212,77,25,41,5213.41,16,7,8,43.8,680.83
mf45_ef20_mp1.25_ep20.0_cfd35,45,20,1.25,20.0,35,13000.0,14902.13,3.9852,2419.9,4319.19,17212.68,2178.69,1835.91,21227.27,8227.27,63.29,314,198,91,25,41,5080.82,4,4,0,100.0,835.91
mf45_ef20_mp2.00_ep20.0_cfd40,45,20,2.0,20.0,40,13000.0,15458.12,4.1357,2405.71,4319.19,17862.76,1878.25,1474.51,21215.52,8215.52,63.2,314,198,91,25,41,5336.37,3,3,0,100.0,474.51
mf35_ef20_mp2.00_ep20.0_cfd35,35,20,2.0,20.0,35,13000.0,14781.79,3.979,2428.94,4319.19,17185.86,2185.23,1835.91,21206.99,8206.99,63.13,314,226,63,25,41,4967.01,4,4,0,100.0,835.91
mf45_ef20_mp2.00_ep15.0_cfd25,45,20,2.0,15.0,25,13000.0,14711.29,3.9293,2379.35,4319.19,16971.39,2552.8,1680.83,21205.02,8205.02,63.12,314,198,91,25,41,5264.1,16,7,8,43.8,680.83
mf40_ef20_mp1.50_ep20.0_cfd35,40,20,1.5,20.0,35,13000.0,14835.42,3.9644,2421.8,4319.19,17123.14,2236.56,1835.91,21195.6,8195.6,63.04,314,212,77,25,41,5071.98,4,4,0,100.0,835.91
mf45_ef20_mp1.50_ep20.0_cfd25,45,20,1.5,20.0,25,13000.0,15094.55,4.0372,2415.06,4319.19,17437.59,2073.54,1680.83,21191.96,8191.96,63.02,314,198,91,25,41,5168.09,16,7,8,43.8,680.83
mf40_ef20_mp2.00_ep17.5_cfd30,40,20,2.0,17.5,30,13000.0,14753.23,3.9378,2400.75,4319.19,17008.3,2427.84,1721.79,21157.93,8157.93,62.75,314,212,77,25,41,5181.07,6,4,2,66.7,721.79
mf40_ef20_mp2.00_ep15.0_cfd35,40,20,2.0,15.0,35,13000.0,14313.07,3.8175,2384.08,4319.19,16488.51,2824.87,1835.91,21149.28,8149.28,62.69,314,212,77,25,41,5137.93,4,4,0,100.0,835.91
mf45_ef20_mp1.50_ep17.5_cfd30,45,20,1.5,17.5,30,13000.0,14708.86,3.93,2401.6,4319.19,16974.21,2422.88,1721.79,21118.88,8118.88,62.45,314,198,91,25,41,5131.74,6,4,2,66.7,721.79
mf40_ef20_mp2.00_ep17.5_cfd25,40,20,2.0,17.5,25,13000.0,14753.23,3.9378,2400.75,4319.19,17008.3,2427.84,1680.83,21116.97,8116.97,62.44,314,212,77,25,41,5181.07,16,7,8,43.8,680.83
mf45_ef20_mp2.00_ep12.5_cfd30,45,20,2.0,12.5,30,13000.0,14247.94,3.8051,2362.22,4319.19,16434.88,2959.54,1721.79,21116.21,8116.21,62.43,314,198,91,25,41,5207.49,6,4,2,66.7,721.79
mf45_ef20_mp1.25_ep20.0_cfd30,45,20,1.25,20.0,30,13000.0,14902.13,3.9852,2419.9,4319.19,17212.68,2178.69,1721.79,21113.15,8113.15,62.41,314,198,91,25,41,5080.82,6,4,2,66.7,721.79
mf45_ef20_mp2.00_ep17.5_cfd40,45,20,2.0,17.5,40,13000.0,15111.17,4.0386,2393.8,4319.19,17443.51,2194.18,1474.51,21112.2,8112.2,62.4,314,198,91,25,41,5305.35,3,3,0,100.0,474.51
mf45_ef20_mp1.25_ep17.5_cfd35,45,20,1.25,17.5,35,13000.0,14495.23,3.8723,2405.6,4319.19,16725.14,2546.11,1835.91,21107.16,8107.16,62.36,314,198,91,25,41,5041.34,4,4,0,100.0,835.91
mf45_ef20_mp1.50_ep15.0_cfd35,45,20,1.5,15.0,35,13000.0,14262.44,3.8084,2385.37,4319.19,16449.37,2819.95,1835.91,21105.23,8105.23,62.35,314,198,91,25,41,5082.39,4,4,0,100.0,835.91
mf45_ef20_mp1.00_ep20.0_cfd35,45,20,1.0,20.0,35,13000.0,14702.14,3.9311,2424.85,4319.19,16978.97,2289.2,1835.91,21104.08,8104.08,62.34,314,198,91,25,41,4991.34,4,4,0,100.0,835.91
mf40_ef20_mp1.25_ep20.0_cfd35,40,20,1.25,20.0,35,13000.0,14678.69,3.9225,2425.59,4319.19,16941.95,2320.35,1835.91,21098.21,8098.21,62.29,314,212,77,25,41,4999.04,4,4,0,100.0,835.91
mf35_ef20_mp2.00_ep20.0_cfd30,35,20,2.0,20.0,30,13000.0,14781.79,3.979,2428.94,4319.19,17185.86,2185.23,1721.79,21092.88,8092.88,62.25,314,226,63,25,41,4967.01,6,4,2,66.7,721.79
mf35_ef20_mp2.00_ep17.5_cfd35,35,20,2.0,17.5,35,13000.0,14379.15,3.8669,2414.21,4319.19,16701.85,2553.19,1835.91,21090.95,8090.95,62.24,314,226,63,25,41,4932.34,4,4,0,100.0,835.91
mf40_ef20_mp1.50_ep20.0_cfd30,40,20,1.5,20.0,30,13000.0,14835.42,3.9644,2421.8,4319.19,17123.14,2236.56,1721.79,21081.49,8081.49,62.17,314,212,77,25,41,5071.98,6,4,2,66.7,721.79
mf45_ef20_mp1.50_ep17.5_cfd25,45,20,1.5,17.5,25,13000.0,14708.86,3.93,2401.6,4319.19,16974.21,2422.88,1680.83,21077.92,8077.92,62.14,314,198,91,25,41,5131.74,16,7,8,43.8,680.83
mf45_ef20_mp2.00_ep12.5_cfd25,45,20,2.0,12.5,25,13000.0,14247.94,3.8051,2362.22,4319.19,16434.88,2959.54,1680.83,21075.25,8075.25,62.12,314,198,91,25,41,5207.49,16,7,8,43.8,680.83
mf40_ef20_mp1.50_ep17.5_cfd35,40,20,1.5,17.5,35,13000.0,14420.94,3.8492,2406.82,4319.19,16625.35,2613.49,1835.91,21074.74,8074.74,62.11,314,212,77,25,41,5034.42,4,4,0,100.0,835.91
mf45_ef20_mp2.00_ep10.0_cfd35,45,20,2.0,10.0,35,13000.0,13706.45,3.6622,2342.33,4319.19,15817.55,3421.15,1835.91,21074.61,8074.61,62.11,314,198,91,25,41,5127.6,4,4,0,100.0,835.91
mf45_ef20_mp1.25_ep20.0_cfd25,45,20,1.25,20.0,25,13000.0,14902.13,3.9852,2419.9,4319.19,17212.68,2178.69,1680.83,21072.19,8072.19,62.09,314,198,91,25,41,5080.82,16,7,8,43.8,680.83
mf35_ef20_mp1.50_ep20.0_cfd35,35,20,1.5,20.0,35,13000.0,14559.75,3.9126,2433.07,4319.19,16899.3,2322.94,1835.91,21058.15,8058.15,61.99,314,226,63,25,41,4882.69,4,4,0,100.0,835.91
mf35_ef20_mp2.00_ep20.0_cfd25,35,20,2.0,20.0,25,13000.0,14781.79,3.979,2428.94,4319.19,17185.86,2185.23,1680.83,21051.91,8051.91,61.94,314,226,63,25,41,4967.01,16,7,8,43.8,680.83
